speaker,text
CLINTON,"Well, thank you. Are you a teacher? Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign."
TRUMP,"Well, I actually agree with that. I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country. This is a great land. I’ve gotten to know the people of the country over the last year-and-a-half that I’ve been doing this as a politician. I cannot believe I’m saying that about myself, but I guess I have been a politician."
TRUMP,"No, I didn’t say that at all. I don’t think you understood what was—this was locker room talk. I’m not proud of it. I apologize to my family. I apologize to the American people. Certainly, I’m not proud of it. But this is locker room talk."
TRUMP,And we should get on to much more important things and much bigger things.
TRUMP,I have great respect for women. Nobody has more respect for women than I do.
TRUMP,"I’ve said things that, frankly, you hear these things I said. And I was embarrassed by it. But I have tremendous respect for women."
TRUMP,"And women have respect for me. And I will tell you: No, I have not. And I will tell you that I’m going to make our country safe. We’re going to have borders in our country, which we don’t have now. People are pouring into our country, and they’re coming in from the Middle East and other places."
TRUMP,"Right now, other nations are taking our jobs and they’re taking our wealth."
TRUMP,And that’s what I want to talk about.
CLINTON,"Well, like everyone else, I’ve spent a lot of time thinking over the last 48 hours about what we heard and saw. You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve."
TRUMP,Am I allowed to respond to that? I assume I am.
TRUMP,"It’s just words, folks. It’s just words. Those words, I’ve been hearing them for many years. I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed."
TRUMP,"So, she’s allowed to do that, but I’m not allowed to respond?"
TRUMP,Sounds fair.
TRUMP,"It was locker room talk, as I told you. That was locker room talk. I’m not proud of it. I am a person who has great respect for people, for my family, for the people of this country. And certainly, I’m not proud of it. But that was something that happened."
CLINTON,"Well, first, let me start by saying that so much of what he’s just said is not right, but he gets to run his campaign any way he chooses. He gets to decide what he wants to talk about. Instead of answering people’s questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that’s his choice."
TRUMP,"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal—he’s another real winner that you have—and he’s the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology. You’re the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb. That was long before I was ever involved, so you actually owe an apology."
CLINTON,"… because everything he just said is absolutely false, but I’m not surprised."
TRUMP,"Oh, really?"
CLINTON,In the first debate…[laughter]
CLINTON,… I told people that it would be impossible to be fact-checking Donald all the time. I’d never get to talk about anything I want to do and how we’re going to really make lives better for people.
TRUMP,Because you’d be in jail. [applause]
CLINTON,"Well, Martha, first, let me say—and I’ve said before, but I’ll repeat it, because I want everyone to hear it—that was a mistake, and I take responsibility for using a personal e-mail account. Obviously, if I were to do it over again, I would not. I’m not making any excuses. It was a mistake. And I am very sorry about that."
TRUMP,And yet she didn’t know the word—the letter C on a document. Right? She didn’t even know what that word—what that letter meant.
TRUMP,You did that. Wait a minute. One second.
TRUMP,"If you did that in the private sector, you’d be put in jail, let alone after getting a subpoena from the United States Congress."
CLINTON,"Look, it’s just not true. And so please, go to…"
TRUMP,"Oh, you didn’t delete them?"
CLINTON,"It was personal e-mails, not official."
TRUMP,"Oh, 33,000? Yeah."
CLINTON,"Not—well, we turned over 35,000, so…"
TRUMP,"Oh, yeah. What about the other 15,000?"
CLINTON,"Yes, that’s true, I didn’t."
TRUMP,Because you have nothing to say.
CLINTON,"I didn’t in the first debate, and I’m going to try not to in this debate, because I’d like to get to the questions that the people have brought here tonight to talk to us about."
TRUMP,And get off this question.
CLINTON,"OK, Donald. I know you’re into big diversion tonight, anything to avoid talking about your campaign and the way it’s exploding and the way Republicans are leaving you. But let’s at least focus…"
TRUMP,Let’s see what happens…[crosstalk]
CLINTON,… on some of the issues that people care about tonight. Let’s get to their questions.
TRUMP,"I’d like to know, Anderson, why aren’t you bringing up the e-mails? I’d like to know. Why aren’t you bringing…"
TRUMP,"No, it hasn’t. It hasn’t. And it hasn’t been finished at all."
TRUMP,It’s nice to—one on three.
CLINTON,"If he wants to start, he can start. No, go ahead, Donald."
TRUMP,"No, I’m a gentleman, Hillary. Go ahead. [laughter]"
